wariant,krok,x,blad,cyfry_znaczace
naive,0,2.0,0.5857864376269049,0.38
naive,1,1.5,0.08578643762690485,1.22
naive,2,1.4166666666666665,0.002453104293571373,2.76
naive,3,1.4142156862745097,2.123901414519125e-06,5.82
naive,4,1.4142135623746899,1.5947243525715749e-12,11.95
naive,5,1.414213562373095,2.220446049250313e-16,15.8
fast,0,1.5,0.08578643762690485,1.22
fast,1,1.4166666666666665,0.002453104293571373,2.76
fast,2,1.4142156862745097,2.123901414519125e-06,5.82
fast,3,1.4142135623746899,1.5947243525715749e-12,11.95
fast,4,1.414213562373095,2.220446049250313e-16,15.8
